hex_id,area_fm,lat_centroide,lon_centroide,y_lag1,prob_crime,decil_risco,top_driver_1,contrib_top1,top_driver_2,contrib_top2,top_driver_3,contrib_top3,y_lag1,y_lag2,y_lag4,y_lag12,n_crimes_12w,W_y_lag1,n_fat_ilum,n_fat_vegetac,n_fat_lixo,n_fat_calcada,n_fat_transito,n_fat_mobil,n_fat_sitrua,n_fat_total,n_cameras,n_cameras_ring1,week_sin,week_cos,is_holiday_week,n_dd_lag1,orcrim_CV,orcrim_Milícia,orcrim_Sem domínio,orcrim_TCP,fe_area_Campo Grande: Estação de Trem - Calçadão,fe_area_Estações São Francisco Xavier - Afonso Pena,fe_area_Jardim de Alah,fe_area_Metrô Botafogo - Rua São Clemente - Rua Voluntários da Pátria,fe_area_Praia de Botafogo - Rua Marquês de Abrantes,fe_area_Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,fe_area_Rodoviária - Terminal Gentileza - Estação Leopoldina,fe_area_Rua Lauro Müller – Avenida General Severiano – Avenida Venceslau Brás
89a8a0612d3ffff,Rodoviária - Terminal Gentileza - Estação Leopoldina,-22.91085409282925,-43.21140849242987,0,0.47658336487929803,6,n_cameras_ring1,0.3853,fe_area_Rodoviária - Terminal Gentileza - Estação Leopoldina,0.1982,y_lag2,0.1155,0,1,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,82.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,False,False,False,False,False,False,True,False
89a8a0612d7ffff,Rodoviária - Terminal Gentileza - Estação Leopoldina,-22.90922909505292,-43.21444332904149,0,0.46042053594874854,6,n_crimes_12w,0.5452,fe_area_Rodoviária - Terminal Gentileza - Estação Leopoldina,0.2062,y_lag4,0.0988,0,0,1,1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,False,False,False,False,False,False,True,False
89a8a0612dbffff,Rodoviária - Terminal Gentileza - Estação Leopoldina,-22.909378178079773,-43.20829957979462,0,0.5016680240411833,7,n_cameras_ring1,0.3073,n_crimes_12w,0.1804,fe_area_Rodoviária - Terminal Gentileza - Estação Leopoldina,0.1705,0,0,1,0,4.0,0.3333333333333333,0.0,1.0,0.0,2.0,0.0,1.0,0.0,4.0,18.0,76.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,False,False,False,False,False,False,True,False
89a8a061603ffff,Estações São Francisco Xavier - Afonso Pena,-22.92310728183162,-43.217848641927105,0,0.444133948072727,6,n_crimes_12w,0.2607,fe_area_Estações São Francisco Xavier - Afonso Pena,0.1993,n_fat_total,0.1334,0,0,0,0,3.0,0.16666666666666666,1.0,1.0,2.0,1.0,0.0,1.0,0.0,6.0,3.0,11.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,False,True,False,False,False,False,False,False
89a8a061607ffff,Estações São Francisco Xavier - Afonso Pena,-22.921482383308426,-43.22088350693661,0,0.592630603121817,8,n_crimes_12w,0.311,n_fat_total,0.1591,fe_area_Estações São Francisco Xavier - Afonso Pena,0.1188,0,0,0,0,6.0,0.3333333333333333,2.0,3.0,0.0,5.0,0.0,0.0,2.0,12.0,3.0,20.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,False,True,False,False,False,False,False,False
89a8a06160bffff,Estações São Francisco Xavier - Afonso Pena,-22.921631718912497,-43.21473966825999,0,0.4547343385372254,6,n_crimes_12w,0.283,fe_area_Estações São Francisco Xavier - Afonso Pena,0.2163,y_lag4,0.171,0,0,1,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,False,True,False,False,False,False,False,False
89a8a06160fffff,Estações São Francisco Xavier - Afonso Pena,-22.920006851434813,-43.21777454082412,0,0.6245180944017856,8,n_crimes_12w,0.4233,fe_area_Estações São Francisco Xavier - Afonso Pena,0.1213,y_lag2,0.1167,0,1,0,1,8.0,0.16666666666666666,1.0,2.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,False,True,False,False,False,False,False,False
89a8a061617ffff,Estações São Francisco Xavier - Afonso Pena,-22.924582755730157,-43.220957623256275,1,0.5919348650478494,8,n_crimes_12w,0.2434,n_fat_total,0.1868,fe_area_Estações São Francisco Xavier - Afonso Pena,0.1116,1,0,0,0,5.0,0.0,4.0,5.0,0.0,4.0,1.0,1.0,0.0,15.0,7.0,14.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,False,True,False,False,False,False,False,False
89a8a061623ffff,Estações São Francisco Xavier - Afonso Pena,-22.916756862016207,-43.22384421978512,0,0.9124287965552034,10,n_crimes_12w,0.6371,fe_area_Estações São Francisco Xavier - Afonso Pena,0.0584,y_lag2,0.0562,0,1,1,1,25.0,0.3333333333333333,1.0,3.0,0.0,2.0,0.0,1.0,0.0,7.0,3.0,5.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,False,True,False,False,False,False,False,False
89a8a06162bffff,Estações São Francisco Xavier - Afonso Pena,-22.91528130321244,-43.22073527646072,1,0.5152374956815443,7,n_crimes_12w,0.2168,fe_area_Estações São Francisco Xavier - Afonso Pena,0.1657,y_lag2,0.1593,1,1,0,0,3.0,0.16666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,9.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,False,True,False,False,False,False,False,False
